"die Freiheit (Pl.: die Freiheiten)	","freedom [Kampf {m} um die Freiheit--fight for freedom]"
"inflammation [med.] [eine Entzündung hervorrufen--cause inflammation [med.]]","der Abfall (Pl.: die Abfälle)	"
"waste [z. B. Rückstand] [gefährlicher Abfall--hazardous waste [ecol.]]; garbage [Hausabfall]; decline [z.B. Preisabfall--crumbling of prices] [steiler Abfall der Umsätze--sharp decline in the sales]; renunciation [relig.; pol.] [Abkehr]","die Tüte (Pl.: die Tüten)	"
"bag [aus Papier, Plastik] [Tüte voll Süßigkeiten--bag of sweets; tun Sie mir die Einkäufe doch bitte in eine Tüte--can you put the shopping in a (carrier) bag, please?]","die Dichte (Pl.: die Dichten)	"
"density [Dichte des Gedränges--dense crowd; Dichte des Nebels--dense fog; Dichte des Wassers--water density]","das Tier (Pl.: die Tiere)	"
"animal [ein Tier lebendig fangen--catch an animal alive]","die Aufnahme (Pl.: die Aufnahmen)	"
"picture [eine Aufnahme machen--take a picture [photo.]]; incorporation; intake [of water, electricity etc.]; record; admission [to hospital, club etc.] [Aufnahme ist beschränkt.--Admission is restricted.; die Aufnahme beantragen--apply for admission]; commencement [Beginn einer Tätigkeit, von Verhandlungen etc.] [Aufnahme des Geschäfts--commencement of business]; filming [das Filmen]","die Ausbreitung (Pl.: die Ausbreitungen)"
"spread [die Ausbreitung der Epidemie schreitet weiter fort--the epidemic is continuing to spread]","das Laufen (kein Plural)	"
"running [außer Atem vom Laufen--breathless with running]","die Entfremdung (Pl.: die Entfremdungen)"
"alienation [soziale Entfremdung--social alienation [sociol.; psych.]]","der Zusammenbruch (Pl.: die Zusammenbrüche)"
"collapse [Zusammenbruch der Wirtschaft--collapse of the economy [econ.]]","die Angst (Pl.: die Ängste)	"
"fear [Befürchtung, stärker: Furcht] [seine Angst überwinden--overcome one's fear]","der Europäer (Pl.: die Europäer)	European [pol.; ethn.]"
"die Kluft (Pl.: die Klüfte)	","gap [die Kluft verbreitern--widen the gap; die Kluft zwischen Arm und Reich--the divide between rich and poor]; chasm [gähnende Kluft--yawning chasm (зияющая пропасть)] (глубокая расселина)"
"der Krawall (Pl.: die Krawalle)	turmoil [Krawall machen--riot]","die Zusammensetzung (Pl.: die Zusammensetzungen)"
"composition [chem.; finan.--eines Index] [chemische Zusammensetzung--chemical composition [chem.] (химический состав)]; structure","der Erlass (Pl.: die Erlasse)	"
"decree [pol.] [auf Erlass der Regierung--by government decree [pol.]]; waiver [Verzicht auf Durchsetzung eines Rechts] [Erlass einer Gebühr--waiver of a fee] [z.B. 'Die Regierung verhandelt mit internationalen Geldgebern seit Wochen erfolglos über eine Umschuldung. Sie hatte auch einen Teilerlass der Schulden gefordert. Das neue Gesetz solle die Verhandlungen beleben, hatte Finanzministerin Natalia Jaresko gesagt.']","der Zerfall (Pl.: die Zerfälle)	"
"decay [+von Gebäude auch, von Atom]; disintegration [Zerfall Jugoslawiens--breakup of Yugoslavia [hist.]]","das Bruttoinlandsprodukt <BIP> (Pl.: die Bruttoinlandsprodukte)"
"gross domestic product <GDP> [econ.] [z.B. 'Saudi-Arabien muss als Folge des lange Zeit fallenden Ölpreises kräftig auf die Bremse treten. Denn der Internationale Währungsfonds (IWF) prognostiziert für den laufenden Staatshaushalt der größten arabischen Volkswirtschaft ein Rekorddefizit von 19,5 Prozent am Bruttoinlandsprodukt von umgerechnet 700 Milliarden Euro. Damit weist der Staatshaushalt erstmals seit 2003, als der Preis für ein Barrel Rohöl unter 35 Dollar lag, wieder einen starken Fehlbetrag aus.']","der Rückgang (Pl.: die Rückgänge)	"
"decline [Rückgang der Besucherzahlen--decline in the number of visitors; (stark) im Rückgang begriffen sein--be in (steep) decline]","die Klage (Pl.: die Klagen)	"
"complaint [Beschwerde] [bei jdm. Klage führen--lodge a complaint with sb.]; lawsuit [law] [eine Klage einreichen--file a lawsuit [law]]","die Öffnung (Pl.: die Öffnungen)	"
"opening [offene Stelle; das Öffnen] [vor Öffnung--before official hours; ohne den Code zu wissen, ist eine Öffnung des Safes nicht möglich--it is not possible to open the safe without knowing the code]","der Erdrutsch (Pl.: die Erdrutsche)	"
"landslide [einen Erdrutsch verursachen--cause a landslide [geol.]]","der Wendepunkt (Pl.: die Wendepunkte)	"
"watershed [einen Wendepunkt darstellen--mark a watershed [fig.] (означать переломный момент)] (поворотный пункт)","der Bekannte/ein Bekannter (Pl.: die Bekannten)"
"acquaintance; friend","die Belastung (Pl.: die Belastungen)	burden; pollution [env.]; charge [fin.]"
"der Rückschluss (Pl.: die Rückschlüsse)","conclusion [aus +Akk.--from]; inference"
"der Sonderfall (Pl.: die Sonderfälle)	exception","die Einstellung (Pl.: die Einstellungen)"
"setting [Uhr, Schalter etc.]; attitude [Haltung, Grundhaltung] [zu +Dat.--towards] [z.B. 'Ob diese Zweifel dann auch zu einer Änderung der Einstellung führen, sollte der dritte Teil der Untersuchung zeigen, bei dem nochmals die Einstellung zu den Religionen abgefragt wurde - nun waren die Studienteilnehmer ja schon informiert über ihre falschen Annahmen.']; termination [Abbruch, Beendigung]; recruitment [of workers] [jobs]","die Auffassung (Pl.: die Auffassungen)	"
"perception [Auffassungsgabe] [meiner Auffassung nach--in my opinion]; conception [notion, idea]; opinion [Meinung, Verständnis]","der Zusammenhang (Pl.: die Zusammenhänge)"
"context [im Text]; connection [Beziehung] [von, zwischen +Dat.--between]","die Witzelei (Pl.: die Witzeleien)	"
"wisecrack (острота; саркастическое замечание)","die Vorführung (Pl.: die Vorführungen)	"
"demonstration [+von Geräten, Modellen, Übungen; Demonstration] [inoffizielle erste Vorführung eines Films--sneak preview (закрытый предварительный просмотр фильма)]","die Hauptstadt (Pl.: die Hauptstädte)	"
"capital [Bern ist die Schweizer Hauptstadt--Berne is the Swiss capital (or capital of Switzerland)]","das Unglück (Pl.: die Unglücke)	"
"disaster [Schicksalsschlag] [ein Unglück verhindern--prevent a disaster]; accident [Unfall, Vorfall] [es geschah ein Unglück--there was an accident] [z.B. 'Ein Toter, zwei Verletzte und eine dramatische Rettungsaktion: Ein Sturm hat in der Nordsee für ein Unglück gesorgt. Eine gewaltige Welle traf eine Bohrplattform [drilling platform] im Gasfeld 'Troll' vor der norwegischen Küste.']","die Mitschuld (kein Plural)	"
"complicity [an einem Verbrechen] [an +Dat.--in] (соучастие); share of the blame [ihn trifft eine Mitschuld--a share of the blame falls on him]","die Ladung (Pl.: die Ladungen)	"
"load [volle LKW-Ladung--full truck load [transp.]]; cargo [transp.; naut.; aviat.] [Versicherung {f} von Schiff und Ladung--insurance of ship and cargo [insur.]]","das Eichhörnchen (Pl.: die Eichhörnchen)"
"squirrel [zool.] [Mühsam ernährt sich das Eichhörnchen.--Slowly but surely.]","der Anreiz (Pl.: die Anreize)	"
"incentive [finanzieller Anreiz--cash incentive; einen Anreiz bieten--provide an incentive]","die Vergütung (Pl.: die Vergütungen)	"
"compensation [action or money; für Verlust, Schaden] [Anspruch {m} auf Vergütung--right to compensation]; salary","die Ernüchterung (Pl.: die Ernüchterungen)"
"disillusionment [auf den Erfolg folgte schnell die Ernüchterung--he/she etc. experienced disillusionment shortly after success]","der Ökonom (Pl.: die Ökonomen)	economist [econ.]"
"die Genehmigung (Pl.: die Genehmigungen)","approval [consent] [eine Genehmigung erteilen--grant an approval]; permit [schriftlich, auch amtlich] [eine Genehmigung beantragen--apply for a permit]"
"der Dschungel (Pl.: die Dschungel)	","jungle [sie mussten sich durch dichten Dschungel vorarbeiten--they had to work their way forward through thick jungle]"
"der Inhaber (Pl.: die Inhaber)	","owner [+von Geschäft, Firma] [Inhaber einer Firma--owner of a firm]"
"die Gewinnung (Pl.: die Gewinnungen)	production [+von Energie, Plutonium]","der Subunternehmer (Pl.: die Subunternehmer)"
"subcontractor","die Widrigkeit (Pl.: die Widrigkeiten)	"
"adversity [allen Widrigkeiten zum Trotz--in the face of great adversity]","die Strapaze (Pl.: die Strapazen)	"
"strain [z.B. 'Die Strapazen sind allen Beteiligten anzusehen: Die Augen müde, das Lächeln gequält, die Formulierungen immer hilfloser. Seit mehr als einer Woche sind die Eurofinanzminister und die Mitarbeiter der drei Institutionen Internationaler Währungsfonds (IWF), Europäische Zentralbank (EZB) und EU-Kommission fast rund um die Uhr im Einsatz. Die Euro-Gruppen-Sitzung am Donnerstag wurde von Teilnehmern als fast 'komatös' bezeichnet.'] (напряжение)","die Mühe (Pl.: die Mühen)	"
"effort [die Mühe wert sein--be worth the effort; sich (D) alle Mühe geben--make every effort]","die Erdwärme (kein Plural)	geothermal energy [geol.]"
"die Verhältnisse {pl} (Sg.: das Verhältnis)","conditions [Bedingungen, Lebensumstände] [normale Verhältnisse--normal conditions; die hiesigen Verhältnisse--local conditions, conditions here; wir fahren erst, wenn die Verhältnisse auf den Straßen es zulassen--we'll only leave when the road conditions permit it] [z.B. 'Auch der ADAC warnte vor der Hitze: In manchen Autos herrschten Verhältnisse wie in einer Sauna. 'Bei direkter Sonneneinstrahlung kann sich ein Auto auf über 60 Grad aufheizen', sagte ADAC-Sprecherin Andrea Piechotta.']; circumstances [ärmliche Verhältnisse--poor circumstances; unter anderen Verhältnissen--under different circumstances]; situation"
"der Begleiter (Pl.: die Begleiter)	","companion [begleitender Mensch] [Begleiter {pl} im Unglück--companions in misfortune (товарищи по несчастью)] [z.B. 'Ein junges Paar ist bei einem Sturz vom Dach der Düsseldorfer Kunstakademie schwer verletzt worden. Den Berichten zufolge setzten sich die junge Frau und ihr Begleiter, beide Mitte 20 und Studenten der Akademie, auf die Abdeckung eines alten Kamins. Als diese einbrach, stürzten sie 30 Meter durch den Schacht in die Tiefe, vom Dach bis in den Keller.']"
"der Rentner (Pl.: die Rentner)	","retiree [Ruheständler] [jobs] [Außer zahlreichen Arbeitslosen und den Working Poor lebt landesweit ein Viertel der Rentner in Armut.--In addition to a large number of unemployed and working poor, one female pensioner in four lives in poverty in the United Kingdom.]"
"die Bühne (Pl.: die Bühnen)	","stage [theatre] [auf der Bühne auftreten--to appear on the scene [theatre]; die Bühne verlassen--to go off the stage] [z.B. 'Jetzt treten diese vier Spitzenpolitiker in Bamberg auf die Bühne, dazu noch die Bundesminister Gerd Müller (Entwicklung) und Christian Schmidt (Landwirtschaft), die in der Nachfolgefrage keine Rolle spielen.']"
"das Gedicht (Pl.: die Gedichte)	","poem [ein Gedicht lesen--to read a poem; ein Gedicht verfassen--to compose a poem]"
"der Knüppel (Pl.: die Knüppel)	stick [großer Knüppel--big stick]","die Einheit (Pl.: die Einheiten)	"
"unit [Maßeinheit etc.] [auch mil.] [Preis pro Einheit--price per unit]; unity [Gesamtheit, Ganzheit, Einigkeit, Einheitlichkeit] [nationale Einheit--national unity; die deutsche Einheit--German unity or German reunification; Tag der Deutschen Einheit--Day of German Unity; die Einheit der Partei war eine Fiktion--the party's unity was fictional]","das Obst (kein Plural)	"
"fruit [gastr.; bot.] [Obst und Gemüse--fruit and vegetables]","die Fläche (Pl.: die Flächen)	"
"area [Gebiet] [begrünte Fläche--green area [urban; hort.]]","die Rede (Pl.: die Reden)	"
"speech [eine Rede halten--deliver a speech]  [z.B. 'Doch ist nur von einem ersten Schritt die Rede.']","der Donnerstag (Pl.: die Donnerstage)	Thursday [am Donnerstag--on Thursday]"
"der Einwanderer (Pl.: die Einwanderer)	","immigrant [illegaler Einwanderer--illegal immigrant] [z.B. 'Nasser kam als Sohn libanesischer Einwanderer in Berlin zur Welt.']"
"die Einigung (Pl.: die Einigungen)	","agreement [Einigung erzielen--reach agreement]"
"der Raubüberfall (Pl.: die Raubüberfälle)","robbery [bewaffneter Raubüberfall--armed robbery]"
"die Ermittlung (Pl.: die Ermittlungen)	","investigation [Erkundigung] [esp. law] [verdeckte Ermittlung--undercover investigation [law]; Ermittlungen durchführen--conduct investigations]; determination [determining of quality, limit etc.] [unabhängige Ermittlung des Preises--independent determination of price]"
"die Bluttat (Pl.: die Bluttaten)	","bloody deed [eine Bluttat begehen--commit a bloody deed]"
"das Geständnis (Pl.: die Geständnisse)	","confession [ein Geständnis ablegen--make a confession [law]]"
"das Opfer (Pl.: die Opfer)	","victim [Geschädigter] [Opfer von etw. sein--be the victim of sth.]"
"die Zeichnung (Pl.: die Zeichnungen)	","drawing [Darstellung] [art] [detaillierte Zeichnung--detailed drawing; wie aus der Zeichnung ersichtlich--as shown in the drawing]"
"die Zeugenaussage (Pl.: die Zeugenaussagen)","testimony [law]"
"der Betrüger (Pl.: die Betrüger)	","deceiver [du Betrüger! diese Spielkarte hast du aus dem Ärmel gezogen!--you cheat! you had that card up your sleeve!]"
"die Anlage (Pl.: die Anlagen)	","investment [fin.] [Einkommen aus Anlagen--income on investments; langfristige Anlage--long-dated investment; Anlage in Immobilien--investment in real property]; construction [constr.]; facility [more often facilities] [Sportanlagen etc.] [maschinelle Anlagen--engineering facilities [tech.; rail]; sanitäre Anlagen--sanitary facilities]"
"die Bestimmung (Pl.: die Bestimmungen)	","regulation [Vorschrift, Verfügung] [gesetzliche Bestimmung--legal regulation [law]]; provision [law] [Auflage, Bedingung, Klausel] [vertragliche Bestimmung--contractual provision (положение договора)]; defining; appointment [Berufung, Ernennung] [z.B. der Kandidaten]; decision [Beschluss, Entscheidung]; destination [Ziel, Bestimmungsort] [travel; transp.]"
"die Angelegenheit (Pl.: die Angelegenheiten)","matter [affair, issue, business] [bedeutungslose Angelegenheit--matter of no importance; dringende Angelegenheit--urgent matter; in dieser Angelegenheit--in this matter; In dieser Sache / Angelegenheit habe ich nichts zu verbergen.--I have nothing to hide on this matter.]"
"die Verfügung (Pl.: die Verfügungen)	","decree [law] [eine Verfügung erlassen--to issue a decree]; disposal [Verfügungsgewalt] [zu jds. Verfügung--at sb.'s disposal; etw. zur Verfügung haben--to have sth. at one's disposal; Ich stehe Ihnen ganz und gar zur Verfügung.--I'm fully at your disposal.]"
"der Säugling (Pl.: die Säuglinge)	","infant; baby [under 12 months old] [drei Monate alter Säugling--three-month-old baby; einen Säugling anlegen--to give a baby the breast]"
"die Sterblichkeit (kein Plural)	","mortality [die Sterblichkeit bei Frühgeburten--the number of deaths (or the mortality rate) amongst premature babies]"
"der Abbruch (Pl.: die Abbrüche)	","breaking off [Beendigung] [+von Beziehungen, Verhandlungen, Reise] [Abbruch {m} der Verhandlungen--breaking off of negotiations] (прерывание; расторжение); termination [Beendigung] [+von Schwangerschaft]; abandonment [z.B. 'Die Folge der wirtschaftlichen Misere ist in Italien südlich von Rom vielerorts zu sehen, vor allem in Sizilien. Verlassene Fabriken, brüchige Brücken, marode Straßen, Abbruch statt Aufbruch. Jede dritte Familie in der Südhälfte des italienischen Stiefels gilt als arm, im Norden ist es jede zehnte.'] (заброшенность; запущенность)"
